"","category","contrast","MAG","log2FoldChange","padj","baseMean","significant"
"136","time","pre-fermentation_v_post-fermentation","MAG136",-2.98371602171314,1.42617434975581e-05,1816.98221819563,TRUE
"137","time","pre-fermentation_v_post-fermentation","MAG137",-2.1452026809331,1.42617434975581e-05,1017.4812053831,TRUE
"138","time","pre-fermentation_v_post-fermentation","MAG138",1.93562287963581,0.00450741799050197,138.674429850366,TRUE
"139","time","pre-fermentation_v_post-fermentation","MAG139",-4.37448091074076,2.48255168723544e-05,183.7276368725,TRUE
"140","time","pre-fermentation_v_post-fermentation","MAG140",0.0540290782111472,0.931653747498514,99.6847341138536,FALSE
"141","time","pre-fermentation_v_post-fermentation","MAG141",-5.04126624693931,3.13687574962328e-10,244.922355307693,TRUE
"142","time","pre-fermentation_v_post-fermentation","MAG142",5.22333117497816,6.42095180982652e-69,32655.279175002,TRUE
"143","time","pre-fermentation_v_post-fermentation","MAG143",-2.94920733296078,0.144578429497114,40.0747460010934,FALSE
"144","time","pre-fermentation_v_post-fermentation","MAG144",1.87231326978293,0.00462678490751577,137773.642600171,TRUE
"145","time","pre-fermentation_v_post-fermentation","MAG145",2.62451727845863,8.04615222088675e-11,2435.35198161235,TRUE
"146","time","pre-fermentation_v_post-fermentation","MAG146",-0.214045006633619,0.810856878839004,57.8182361966167,FALSE
"147","time","pre-fermentation_v_post-fermentation","MAG147",-4.84974863758655,4.51500586705763e-13,1485.65721604441,TRUE
"148","time","pre-fermentation_v_post-fermentation","MAG148",2.2058895000868,0.456679661196972,11.6736102780686,FALSE
"149","time","pre-fermentation_v_post-fermentation","MAG149",-1.84264636465184,0.256337243553676,194.643924482332,FALSE
"150","time","pre-fermentation_v_post-fermentation","MAG150",-1.78784427185709,0.000862951543603485,162.582257196376,TRUE
"151","time","pre-fermentation_v_post-fermentation","MAG151",-2.80542010803784,9.39917318637622e-05,204.027665488385,TRUE
"152","time","pre-fermentation_v_post-fermentation","MAG152",-0.977319208500131,0.246140812842498,152.066706210026,FALSE
"153","time","pre-fermentation_v_post-fermentation","MAG153",-3.09610331172041,0.0630131641655784,88.1363803961745,FALSE
"154","time","pre-fermentation_v_post-fermentation","MAG154",-3.78664011486023,0.112397710828809,82.1910873773778,FALSE
"155","time","pre-fermentation_v_post-fermentation","MAG155",-3.67268570930261,0.0096791339644369,119.125112524152,TRUE
"156","time","pre-fermentation_v_post-fermentation","MAG156",0.3196762372754,0.873492187221753,494.967335215821,FALSE
"157","time","pre-fermentation_v_post-fermentation","MAG157",1.19474056368699,0.0575809041686313,258.729129439367,FALSE
"158","time","pre-fermentation_v_post-fermentation","MAG158",8.04973130603857,1.19454130917239e-17,9594.47575182058,TRUE
"159","time","pre-fermentation_v_post-fermentation","MAG159",-0.226416545452484,0.690068529455532,2406.64826069546,FALSE
"160","time","pre-fermentation_v_post-fermentation","MAG160",0.1391368087372,0.84249712798624,2578.32004093179,FALSE
"161","time","pre-fermentation_v_post-fermentation","MAG161",-0.895920898780569,0.0219059056774677,153.227628176807,FALSE
"162","time","pre-fermentation_v_post-fermentation","MAG162",-0.0148972714649827,0.968309566228387,950.566588928611,FALSE
"163","time","pre-fermentation_v_post-fermentation","MAG163",0.279330456715991,0.939774516710985,2.09568607550263,FALSE
"164","time","pre-fermentation_v_post-fermentation","MAG164",-4.30563087059317,1.19411420324938e-10,278.289143443948,TRUE
"165","time","pre-fermentation_v_post-fermentation","MAG165",-2.13018307004117,0.527638545657707,6.78339343413158,FALSE
"166","time","pre-fermentation_v_post-fermentation","MAG166",-1.36793177513537,0.000140551670163139,410.900658939848,TRUE
"167","time","pre-fermentation_v_post-fermentation","MAG167",-6.37556903220257,5.07921520481995e-28,632.150009412002,TRUE
"168","time","pre-fermentation_v_post-fermentation","MAG168",2.2001428294284,1.13837309712099e-05,495.044700039111,TRUE
"169","time","pre-fermentation_v_post-fermentation","MAG169",1.66706699734845,0.207064317562859,22.1799487234233,FALSE
"170","time","pre-fermentation_v_post-fermentation","MAG170",0.45794228812602,0.436769565106618,469.798619547593,FALSE
"171","time","pre-fermentation_v_post-fermentation","MAG171",-1.37395029458155,0.315679210570177,78.1359007464744,FALSE
"172","time","pre-fermentation_v_post-fermentation","MAG172",-4.94206752795753,5.07921520481995e-28,1658.03180965506,TRUE
"173","time","pre-fermentation_v_post-fermentation","MAG173",-4.74133637144421,1.95891119047484e-10,606.17272487008,TRUE
"174","time","pre-fermentation_v_post-fermentation","MAG174",-3.48894734876835,0.000465156547138506,89.4346981416446,TRUE
"175","time","pre-fermentation_v_post-fermentation","MAG175",-3.08252561452834,0.0693151822796366,104.717286959473,FALSE
"176","time","pre-fermentation_v_post-fermentation","MAG176",-2.08755306506049,0.0693151822796366,308.762343719031,FALSE
"177","time","pre-fermentation_v_post-fermentation","MAG177",-2.40571597377816,0.28850550714016,78.851267354931,FALSE
"178","time","pre-fermentation_v_post-fermentation","MAG178",-1.78908656161994,0.0581628648444873,80.5248356907273,FALSE
"179","time","pre-fermentation_v_post-fermentation","MAG179",-3.06427577372297,0.161613062245092,57.3279532067205,FALSE
"180","time","pre-fermentation_v_post-fermentation","MAG180",6.16708358903797,1.74989461736194e-05,280.436705823145,TRUE
"181","time","pre-fermentation_v_post-fermentation","MAG181",1.08132119110562,0.00700571261270802,663.294873703415,TRUE
"182","time","pre-fermentation_v_post-fermentation","MAG182",1.52895105192566,0.0167520365100047,1038.02607998497,TRUE
"183","time","pre-fermentation_v_post-fermentation","MAG183",-3.52445820165757,3.63182609877759e-09,1259.21744826422,TRUE
"184","time","pre-fermentation_v_post-fermentation","MAG184",-1.83512716313597,0.4513836467162,102.393058935605,FALSE
"185","time","pre-fermentation_v_post-fermentation","MAG185",-2.60882863295768,0.00682111560692519,248.608825701085,TRUE
"186","time","pre-fermentation_v_post-fermentation","MAG186",-3.21915676801397,0.0667584065471141,336.979966166171,FALSE
