"","J001-0h","J001-ctrl","J001-acggm","J011-0h","J011-ctrl","J011-acggm","J014-0h","J014-ctrl","J014-acggm","J016-0h","J016-ctrl","J016-acggm","J018-0h","J018-ctrl","J018-acggm","J020-0h","J020-ctrl","J020-acggm","J021-0h","J021-ctrl","J021-acggm","J022-0h","J022-ctrl","J022-acggm"
"MAG063",0.054754995,0.09980063,0.13519038,0.073303476,0.08778161,0.14621167,0.031428408,0.037816294,0.034693357,0.057484347,0.0886458,0.22857329,0.08796254,0.2872019,0.34706685,0.12474713,0.2008103,0.3467044,0.06185925,0.1421537,0.28274345,0.10808289,0.5510912,0.4735322
"MAG064",0,0.0010650362,0.0008690237,0.017656617,0.016170083,0.01168422,0.03222188,0.039321106,0.01625886,0.0022986846,0.0027591742,0.0015946571,0.06163032,0.031287756,0.02033978,0,0.0011474635,0,0.003603507,0.0045413463,0.0036064028,0.07274583,0.051640604,0.04127216
"MAG065",0.009323099,0,0,0.023933463,0.00226733,0.0034367188,0.025243152,0.0031084027,0.0020836073,0.004031759,0,0,0.03925255,0.0063156476,0.0050342763,0.0017307727,0,0,0.00318716,0,0,0.06898718,0.006443746,0.006939439
"MAG066",0.021286445,0.07779573,0.07775615,0.06356037,0.13167343,0.11963505,0.07128915,0.23128693,0.16171987,0.02443109,0.1036078,0.097546354,0.063055985,0.10630212,0.097213864,0.020283645,0.13356328,0.12418547,0.027485095,0.123195395,0.1801389,0.088033475,0.14944308,0.27494004
"MAG067",0.00085141876,0.0011039848,0.016859144,0.0009605763,0.0031289125,0.010885271,0.0009009043,0.0028909782,0.0013583077,0.023768518,0.056674182,0.15187033,0.01544358,0.034258254,0.042879254,0.0023324317,0.014506422,0.04659771,0,0.00062193617,0.0035927717,0.0185741,0.037551723,0.18454061
"MAG068",0.002134581,0.25099102,0.1601775,0,0.08957709,0.047868233,0,0.0035291507,0.00076902,0.0011029263,0.11486057,0.10679852,0,0,0,0,0.002628597,0.0018961997,0,0.0085810525,0.0068703624,0.0009766321,0.101022735,0.03451086
"MAG069",0.27964866,0.19609301,0.19398427,0.11483116,0.27463472,0.20076501,0.22071211,0.15073755,0.076426096,0.112719856,0.12805986,0.13889094,0.356176,0.9067485,0.5153252,0.033866674,0.14117649,0.16674078,0.10954943,0.26286063,0.39443627,0.40426284,0.8621714,0.41762558
"MAG070",0.0321693,0.03414444,0.110261224,0.047868066,0.09192566,0.28085232,0.036747783,0.055268228,0.09673034,0.024175448,0.013322555,0.17051424,0.04339722,0.111945584,0.2613516,0.012402023,0.026599204,0.065775804,0.012627586,0.013741477,0.06793345,0.07436466,0.09857292,0.21786545
"MAG071",0.006779136,0,0,0.034503557,0.016806716,0.01331725,0.019013712,0.009075029,0.0049381414,0.009242425,0.005603456,0.0034183303,0.012729562,0.005698791,0.0040263813,0.015764618,0.013953186,0.0075631407,0.022840258,0.009120956,0.0053037717,0.0074036876,0.0046529095,0.0021775835
"MAG072",0.008349981,0.0010388262,0.00063505676,0.044623986,0.0065530604,0.004634968,0.013927846,0.0049115024,0.0012638515,0.0047031944,0.0022367402,0.0019606391,0.003176323,0.0025826124,0,0.005698899,0.001951118,0.0012949968,0.007868563,0.0032650384,0.0017596805,0.0031930062,0.002071321,0
"MAG073",0.0074703544,0,0,0.06567015,0.003181653,0.005363615,0.027214382,0.0011147106,0.0013627763,0.010650159,0,0,0.018591626,0.0011650587,0.0033824563,0.0037181366,0,0,0.012577855,0,0,0.034523636,0.0008816447,0.0013247607
"MAG074",0.008685142,0.0011175962,0.0016979702,0.08603348,0.03691603,0.02853587,0.05553578,0.020918552,0.013608685,0.044907313,0.018379604,0.028652867,0.02845556,0.009021197,0.008425212,0.06590895,0.03445128,0.03634878,0.030408852,0.014111349,0.016400035,0.005153211,0.0025362736,0.0021076398
"MAG075",0.025172088,0.002079465,0.0037643148,0.04737018,0.0017521741,0.0030737608,0.008237192,0,0,0.01170685,0,0.0015907721,0.0012434353,0,0,0.0065895524,0,0.0017080777,0.006101978,0,0.00062148,0.0037459764,0.0016397303,0.0012095958
"MAG076",0.017973527,0,0.0006665246,0.04538611,0.020361334,0.017116599,0.019014955,0.017720312,0.007772508,0.011932116,0.004198179,0.00500044,0.006809467,0.008847667,0.0029711248,0.01712789,0.0066702943,0.0053264983,0.012383112,0.004217221,0.004056111,0.009478453,0.010070994,0.0043367627
"MAG077",0.030999502,0.0008680033,0.0009526363,0.044489264,0.0051431665,0.0032807265,0.0053533986,0,0,0.0008018574,0,0,0,0,0,0.0075328066,0.0006282659,0,0.00097520044,0,0,0.0030069894,0.00067936815,0
"MAG078",0.0050185323,0.0007520185,0.0019720988,0.10470152,0.041801583,0.39062446,0.0052881143,0.0047950074,0.038597994,0.003010043,0,0.011302124,0.0046802755,0.0051219035,0.048892826,0,0,0.0012169827,0,0,0,0.0013301275,0.0016364603,0.0065988526
"MAG079",0.117765404,0.0024210713,0.002786896,0.47610202,0.064052135,0.06315784,0.373731,0.035063144,0.0253073,0.24344996,0.049081363,0.05205238,0.24219544,0.023335826,0.017209357,0.12036197,0.042032156,0.051913105,0.19330007,0.026302986,0.032097775,0.28738835,0.026604284,0.0148470765
"MAG080",0.049671132,0.0025767507,0.002039553,0.02568829,0.13398966,0.065090604,0.043868937,0.13067782,0.026586294,0.048135426,0.029998394,0.02946396,0.029190859,0.10183747,0.009931873,0.025866421,0.07981804,0.025442299,0.06104656,0.09920329,0.025390314,0.06614593,0.14718634,0.023427818
"MAG081",0,0.0007271342,0,0.033087477,0.080581136,0.049293708,0.03265599,0.021258526,0.013335817,0.0062841545,0.021091657,0.02184302,0.0071156328,0.0028747325,0.0034256265,0,0,0,0,0,0,0.00087976555,0.0011984413,0
"MAG082",0.072104506,0.02307182,0.02308965,0.05190882,0.05766165,0.0470263,0.06789352,0.061119296,0.04442981,0.04526354,0.0152509725,0.022632744,0.052484993,0.010993397,0.014107951,0.01471527,0.007554528,0.006583949,0.057583652,0.0061061904,0.0073634167,0.049367722,0.009264822,0.019825265
"MAG083",0.0048554935,0.005126469,0.0044414783,0.013489565,0.041787393,0.024240045,0.005048918,0.023795683,0.007634899,0.0008270926,0.0026781699,0.001979987,0.005686932,0.033680115,0.011492784,0.0047359085,0.026956948,0.016606266,0.0020239484,0.0076851244,0.0051019606,0.0009884264,0.006362817,0.0016419434
"MAG084",0.0016860064,0,0.0007431599,0.010023304,0.0047550574,0.0036499775,0.05118602,0.02872475,0.014234999,0,0,0,0.050636806,0.01835729,0.0135169225,0.00074082543,0.0011314128,0.0007388191,0,0,0,0.04328463,0.022304919,0.013822248
"MAG085",0.012876334,0,0,0.012060665,0,0,0.057229504,0.0038922413,0.0020125129,0.009306447,0.0008338598,0,0,0,0,0.04377708,0.0012341688,0.001433517,0.0067488463,0,0,0.0009310968,0,0
"MAG086",0.038949717,0.0030814034,0.0027593414,0.32215652,0.030425593,0.017858338,0.14002852,0.011976104,0.0045011984,0.075125955,0.008575613,0.0055774124,0.07165223,0.0033592482,0.0022617965,0.044992816,0.0034976439,0.0022178886,0.21426515,0.016748974,0.012247969,0.21787137,0.007813631,0.0063351644
